ID,alternativeTitle,contactDetails,country,creationDate,creator,description,endDate,format,formatDetails,function,isbn,issn,language,name,releaseDate,sourceRecordLink,startDate,subTitle,title,type,url
Q1575486,,,Canada,,Ryan Nicholson,,,direct-to-video,Canada,,,,English,Hanger,2009-01-01,http://www.wikidata.org/entity/Q1575486,,,,Feature film,
Q653336,,,Canada,,John Duigan,,,video on demand,Canada,,,,French,Head in the Clouds,2004-01-01,http://www.wikidata.org/entity/Q653336,,,,Feature film,
Q2336453,,,Canada,,Xavier Dolan,,,video on demand,Canada,,,,French,Heartbeats,2010-01-01,http://www.wikidata.org/entity/Q2336453,,,,Feature film,
Q66764347,,,Canada,,,,,,Canada,,,,English,Her Friend Adam,2016-01-22,http://www.wikidata.org/entity/Q66764347,,,,Feature film,
Q62901985,,,Canada,,Noam Gonick,,,,Canada,,,,English,"Hey, Happy!",2001-01-01,http://www.wikidata.org/entity/Q62901985,,,,Feature film,
Q1617727,,,Canada,,Lisa Cholodenko,,,video on demand,Canada,,,,English,High Art,1998-01-01,http://www.wikidata.org/entity/Q1617727,,,,Feature film,
Q3136785,,,Canada,,Michel Jette,,,,Canada,,,,French,Histoire de Pen,2002-01-01,http://www.wikidata.org/entity/Q3136785,,,,Feature film,
Q1617807,,,Canada,,"Bruce LaBruce, Rick Castro",,,,Canada,,,,English,Hustler White,1996-01-01,http://www.wikidata.org/entity/Q1617807,,,,Feature film,
Q2354576,,,Canada,,Xavier Dolan,,,video on demand,Canada,,,,French,I Killed My Mother,2009-01-01,http://www.wikidata.org/entity/Q2354576,,,,Feature film,
Q48671816,,,Canada,,Diane Obomsawin,,,,Canada,,,,French,I Like Girls,2016-01-01,http://www.wikidata.org/entity/Q48671816,,,,Feature film,
Q488595,,,Canada,,Patricia Rozema,,,video on demand,Canada,,,,English,I've Heard the Mermaids Singing,1987-01-01,http://www.wikidata.org/entity/Q488595,,,,Feature film,
Q5985321,,,Canada,,,,,,Canada,,,,English,Ice Men,2004-01-01,http://www.wikidata.org/entity/Q5985321,,,,Feature film,
Q6037637,,,Canada,,Mia Donovan,,,,Canada,,,,,Inside Lara Roxx,2011-11-25,http://www.wikidata.org/entity/Q6037637,,,,Feature film,
Q13423790,,,Canada,,James Wan,,,video on demand,Canada,,,,English,Insidious: Chapter 2,2013-09-13,http://www.wikidata.org/entity/Q13423790,,,,Feature film,
Q64741879,,,Canada,,Cassandra Nicolaou,,,,Canada,,,,English,Interviews with My Next Girlfriend,2002-06-06,http://www.wikidata.org/entity/Q64741879,,,,Feature film,
Q673584,,,Canada,,Claude Fournier,,,,Canada,,,,French,J'en suis !,1997-01-01,http://www.wikidata.org/entity/Q673584,,,,Feature film,
Q6188112,,,Canada,,Lee Demarbre,,,,Canada,,,,English,Jesus Christ Vampire Hunter,2001-01-01,http://www.wikidata.org/entity/Q6188112,,,,Feature film,
Q18708857,,,Canada,,,,,,Canada,,,,English,Jim Loves Jack,1996-01-19,http://www.wikidata.org/entity/Q18708857,,,,Feature film,
Q66305379,,,Canada,,,,,,Canada,,,,English,Johnny Greyeyes,2000-01-01,http://www.wikidata.org/entity/Q66305379,,,,Feature film,
